,total_sessions,total_session_seconds,total_calories
3949-29,2,12420,2236
645-28,2,10740,1736
3382-31,2,14400,1129
4274-39,2,8100,1071
2606-28,2,8700,1819
1977-14,3,20520,1829
474-20,3,13800,4714
884-28,1,7020,1232
3383-5,3,25320,1780
3640-26,1,4320,307
1088-40,1,6600,208
3660-41,2,13920,2342
3539-28,3,13800,3309
195-37,4,23160,4632
4541-20,2,6000,933
2157-24,2,12720,1294
2570-29,1,5340,727
674-10,3,17400,4202
989-16,1,2580,394
4393-19,1,3660,864
2300-21,1,6120,1579
1017-6,2,13500,1332
2233-34,2,16860,935
3224-5,1,2220,580
2735-27,2,9180,795
2871-37,3,20580,1240
3472-20,2,13680,1007
2461-29,2,20040,2030
4485-33,2,13620,1691
3767-10,2,10320,939
4082-38,2,14820,2405
3146-18,3,16920,3596
435-22,1,5640,1163
4072-21,1,10080,409
385-21,1,10200,428
298-16,2,13980,1957
3418-18,4,20520,2435
226-15,2,14820,2041
3513-17,4,25200,4925
1329-29,1,8100,855
4701-15,1,9000,662
3510-12,5,33780,4356
937-7,2,8580,1432
3315-26,2,7800,1405
3531-9,5,20160,3713
3531-24,1,8280,982
4588-12,2,20160,763
56-12,2,17460,802
1350-17,3,13380,1693
3934-38,3,18900,4771
4612-28,1,4980,1670
4101-30,2,12060,1836
4294-7,2,10920,2070
183-41,3,15660,2894
2000-40,1,6300,1063
3258-52,1,9180,1081
3138-35,1,7500,936
4147-24,2,15840,2691
2173-8,2,9420,1605
2470-6,3,18360,2507
1970-14,1,6600,1012
1655-32,2,11040,1321
4968-20,1,6420,1270
2333-8,1,2460,632
3621-15,2,8700,2208
72-4,2,15720,2380
1239-36,1,7800,1728
2671-9,1,3780,1232
1138-4,1,2700,769
3027-32,3,20940,1802
1791-28,2,17100,2698
2147-27,3,20160,2463
4431-52,1,7140,1008
4672-5,2,17100,1909
1650-18,3,15660,3726
1098-8,2,9060,2628
880-24,2,8100,1347
1800-40,3,28380,2568
4979-21,1,6240,409
3152-14,4,25020,2166
2708-4,1,3720,1424
4256-21,5,30960,4706
3264-15,1,6300,707
3529-39,2,8640,2353
3840-38,3,19680,2274
526-23,3,10560,1466
4831-41,1,9120,511
427-21,1,4920,1216
2075-30,1,3120,1636
1115-13,3,22200,1711
709-36,3,23760,3528
1311-22,3,24660,1970
722-11,3,24840,3267
3106-2,1,6120,762
1718-21,2,16440,1815
2124-23,2,4920,1877
2216-16,1,8640,1029
4872-38,2,13020,1351
4562-18,2,13020,1080
1781-28,1,9540,1374
463-29,1,6060,712
650-11,3,12720,2618
1996-17,2,8640,1652
3467-15,2,11280,1292
3290-24,1,3180,424
393-7,2,16440,2451
4218-35,1,9060,512
4495-7,3,20580,1173
2350-1,1,10620,369
4278-13,2,16200,1305
3850-18,1,9360,1388
2996-27,3,30360,1803
2151-29,1,7680,1662
4978-34,2,10140,3194
2921-28,2,16140,1385
1148-13,3,14280,3137
3933-9,1,8760,280
1536-6,2,7740,1363
1527-26,2,9540,2045
2852-27,4,34320,2633
2176-6,3,23760,1181
440-30,2,18960,1984
162-26,4,21540,4359
4457-29,2,9000,2325
2317-41,2,9840,1717
986-9,2,18000,1074
345-17,1,4320,288
3-39,3,26400,3237
516-20,1,10020,475
2674-1,2,16620,2276
3632-38,2,9840,2257
1612-17,1,2460,465
4992-12,2,15120,1830
3258-7,3,19800,1356
2174-8,1,6780,950
3475-3,4,29280,3698
1066-10,1,2400,288
4915-26,3,23580,2019
1777-1,1,5280,498
4092-2,2,10380,3528
4247-22,3,18240,2356
3116-22,1,9120,768
2153-29,1,7020,482
4838-28,1,6000,167
4171-9,1,4320,886
4072-41,1,8520,1031
2987-6,2,17160,3068
3158-24,4,29100,2598
1216-11,3,23280,3807
2819-8,1,1860,487
2882-25,2,16680,1255
3524-28,2,14460,2066
238-5,1,2280,1533
2301-30,3,16800,3510
3486-40,1,3120,1117
3649-39,1,4860,1767
4124-7,2,13680,2555
948-5,2,12840,1158
1429-30,1,5340,1675
3122-4,2,11700,1520
577-33,2,8280,1489
1090-24,1,9720,1147
1902-29,1,7440,1136
363-11,2,15180,1606
1681-6,3,17220,4470
4720-15,4,24960,2212
4872-16,4,20760,2965
1889-41,4,22920,4287
408-10,4,23520,3500
1029-27,3,19440,1792
1241-18,1,9120,934
4339-2,2,12120,1305
1100-8,2,16320,1310
1268-34,3,16920,2769
2532-9,1,3900,1557
1619-11,3,22740,1880
3608-28,3,14160,1979
2544-38,2,16380,1160
436-36,1,9540,464
654-2,2,14160,1147
40-1,1,3720,692
1642-3,1,5580,1073
2939-3,4,25200,4243
2689-9,4,25080,3331
1793-2,3,7980,2963
1580-28,2,15000,1801
1199-7,1,9660,690
1564-24,2,13260,2461
2530-31,1,8520,997
2682-21,3,16020,2473
1623-32,3,12060,1757
1891-24,2,9120,2180
2501-21,3,17280,1873
2000-23,2,14580,1702
3567-32,4,26280,4962
2577-28,1,6360,1234
3205-33,2,12420,1220
4035-29,5,38040,3759
992-19,3,18240,3096
4057-22,2,9840,528
1442-36,3,19380,1860
1153-18,1,8820,800
4554-40,3,14160,1711
13-38,3,25560,3113
2454-27,2,10980,2839
647-39,2,15120,1381
1696-23,2,14220,1766
4335-1,1,2580,1393
2213-16,3,14400,2685
1438-29,2,11760,1617
4972-12,2,12660,1945
4150-18,1,3300,1075
4576-4,2,14580,1631
3459-32,2,16980,976
4033-8,1,4440,1362
1951-7,3,16260,3779
3051-36,5,42660,4985
2573-32,1,8280,994
3579-27,2,13200,1313
2071-15,2,7920,1782
328-9,2,10740,1125
933-19,4,22200,3383
2365-14,1,4680,623
1339-6,3,16980,2395
72-31,1,6720,525
3567-34,4,19140,4188
2374-30,1,6480,1082
2119-38,3,8520,2572
43-7,1,4380,170
2369-15,4,23640,3169
2087-17,2,17160,1520
3866-19,1,8280,801
162-2,2,10080,2376
4540-39,2,13920,1176
3225-27,1,3000,739
1644-5,2,13320,1859
3079-2,3,23700,2062
2399-39,2,9600,1193
1421-1,2,12420,2573
4895-15,2,11220,1448
4525-16,5,33060,3562
674-15,2,5400,608
3512-10,2,18840,1972
168-36,3,12900,2931
1995-13,2,15720,618
1165-1,1,6420,505
618-29,3,19620,3487
4333-8,2,16380,2122
3768-24,2,15900,1549
2780-6,1,3780,929
4548-39,2,10500,2318
1462-20,2,14880,2430
2225-17,2,12060,1638
2482-17,5,35340,3500
2245-41,2,7920,2616
1408-39,1,9480,1160
3596-18,2,8760,2058
4370-17,2,9780,1358
2267-39,1,6420,1345
801-7,2,9360,1735
1453-17,2,12900,2986
3570-12,2,12660,905
4789-10,1,6660,1155
3215-11,3,16560,2455
4550-24,1,3780,1170
362-40,4,32760,2631
3740-22,1,9960,1214
3563-29,2,20880,1610
4601-23,3,18120,3587
1665-38,1,9300,1757
3569-11,1,10200,925
2042-6,1,4140,441
3208-26,2,13920,2522
969-27,4,28680,3095
955-21,1,5220,872
1390-1,2,9000,1699
331-12,1,3540,324
4244-32,1,7260,463
659-35,1,3360,471
1648-7,2,7500,1412
4472-29,1,2460,806
1762-20,1,2760,1145
4947-28,1,7320,1596
1945-40,2,12300,1362
2017-12,4,24660,2673
4717-9,5,41280,3568
526-29,2,15120,2252
3807-3,4,32880,3742
987-4,2,14940,2326
64-19,1,5940,590
3895-38,1,7680,1285
4739-31,1,9540,2035
3172-21,4,27540,3767
4189-14,2,14040,2273
1523-37,1,2700,337
74-39,2,16800,2400
4471-16,1,9840,1761
2791-16,1,2700,976
4842-27,6,46980,4791
1127-5,1,9840,539
3458-10,1,2280,1084
498-19,4,26220,2822
4483-2,2,15240,1515
3779-29,1,6300,1204
4930-14,2,5160,1230
2653-24,1,9840,360
3886-39,1,4800,1029
107-13,2,10800,1649
1878-22,2,18780,1643
2552-26,2,8760,1323
756-9,5,36300,4307
2233-29,2,10980,2771
84-12,1,5280,923
528-38,1,9660,287
4304-20,1,5520,461
1395-30,1,8340,414
1072-17,1,7560,569
1154-19,2,10680,2613
233-24,1,4140,1558
2178-39,1,5100,275
3477-41,1,7020,696
1948-25,1,10740,573
2295-4,3,21240,1560
1247-33,3,22980,1731
2943-16,1,6780,1167
4240-27,2,9300,1261
195-7,2,12000,1191
3035-4,2,13980,2117
2560-15,5,30480,4022
1941-30,1,4800,547
1596-6,1,3180,690
4448-33,1,10440,932
1087-4,2,10620,2119
4694-6,2,17880,3101
3878-27,1,5640,1495
2824-14,2,7080,1812
639-14,5,38760,6955
1307-30,3,16680,3702
3229-40,2,10320,1444
2042-2,3,12900,3391
2480-26,2,13740,1323
1855-7,1,4560,1471
322-22,1,1980,670
1150-21,1,5520,445
3275-22,1,6660,743
2164-25,1,3900,1901
3983-16,3,17880,2633
4839-3,3,16740,2435
579-29,3,25380,2611
1284-27,2,9540,1532
3682-10,3,20040,1612
4976-52,1,7260,1027
1099-23,4,28800,4078
382-25,1,3660,910
1036-32,2,16260,1981
3193-24,1,5280,913
1898-18,1,8700,706
2570-7,1,4260,212
2919-29,2,17760,2349
3455-39,3,10200,3607
520-3,2,19260,1335
2466-10,1,8100,355
3028-32,1,10740,490
1191-35,2,13740,1703
662-25,2,12960,2734
706-4,3,9300,3446
1304-10,4,24120,3221
4640-21,2,6540,907
1260-25,2,12000,626
943-15,2,14280,874
3681-39,1,2640,1866
4769-19,1,7920,833
984-41,3,19680,2298
758-36,1,10440,1499
3191-41,2,16320,1374
1062-31,2,10560,1709
753-31,2,10560,1521
1606-36,4,27420,4168
2971-13,2,12000,1791
2887-14,1,3060,2067
3593-5,2,18600,2788
1436-17,2,9660,1119
1647-5,2,12000,1858
403-13,2,15480,539
1295-1,1,5100,1044
3889-2,1,6540,576
3146-3,1,5700,409
4870-19,1,3180,1130
21-37,4,35220,4301
913-22,2,15960,1083
4415-34,5,39060,4017
4706-38,2,10140,1271
2369-34,1,3840,354
4899-19,1,7800,1156
1583-40,2,14580,1296
1603-1,1,3180,1951
4673-36,2,14340,962
1155-1,1,9000,615
3087-10,1,4380,644
2427-14,1,3120,351
4494-34,3,15300,3294
549-29,2,12600,2003
988-30,1,8280,220
1240-40,2,13680,1188
20-16,1,2940,429
4407-34,4,27000,3685
1725-26,1,7320,1668
4490-23,1,6360,750
785-40,3,24960,2139
3955-29,2,17940,1410
1297-30,1,9660,1101
1946-33,1,2400,712
3825-39,1,2760,638
88-3,1,6720,1256
3313-22,2,14280,1159
3294-36,1,3960,312
314-8,1,7860,1462
382-32,1,9780,724
3328-21,3,19500,3757
1117-40,3,15780,1762
3572-24,1,4200,1180
4594-3,2,12840,2570
2132-10,2,11640,1314
3984-5,2,18180,1988
3288-5,2,7260,2246
1834-25,1,4920,1222
1787-36,3,23580,3648
4-21,2,7440,1183
3699-12,1,5040,736
2839-14,1,7140,1311
2254-8,1,7380,1333
3146-4,2,12660,1124
4924-38,3,30180,3678
1819-25,2,8820,2476
604-2,1,3060,288
4565-4,3,22800,1403
1799-23,3,19680,3048
3111-30,1,9960,1332
2372-13,3,17640,2366
4457-22,1,4740,1412
2347-24,1,3420,1500
117-1,4,29400,4075
1992-5,2,16080,1914
1548-6,1,3300,497
1706-27,1,6180,1154
3744-6,2,8700,1413
1147-30,3,27480,3066
967-18,1,1980,898
2528-13,2,7920,2217
3410-16,1,9900,725
3753-29,1,7080,879
303-19,1,7620,1864
3448-35,2,16260,2534
4455-19,4,31980,3129
2176-35,3,26220,1635
1809-28,2,11160,846
4761-4,1,7980,394
4474-33,2,14220,882
3658-28,1,9420,539
484-2,2,12300,2096
4048-25,3,12720,2643
2449-33,2,13380,1837
2848-40,3,21180,2618
4335-36,2,11160,1275
3666-38,1,9540,520
1928-6,1,3900,1460
3691-37,2,12960,1376
161-27,4,25920,3158
3468-18,2,4920,1762
3713-17,4,21900,3419
3622-4,1,6540,852
2581-12,1,2160,715
4702-32,2,6360,2530
3935-13,3,26700,1842
4866-30,5,36060,4505
3883-9,2,12360,2277
1822-2,2,17100,1756
3239-4,2,9060,1555
997-28,2,12240,1291
4707-33,2,12420,2126
3713-15,1,9660,1466
1764-38,2,12120,1960
2900-23,1,9540,630
2994-21,2,11820,1491
2670-28,1,3600,594
4079-40,1,5700,520
2468-24,1,9600,785
4442-39,2,7560,1545
2520-3,5,35340,3561
4030-41,3,20580,3029
1580-26,1,5340,441
99-7,2,9360,1361
4616-26,2,9840,1188
80-19,2,20580,2277
1106-41,1,10380,2027
2171-19,1,6780,1507
3860-31,3,13980,2847
354-19,1,5760,389
4877-40,2,18540,1941
2134-20,2,17760,1785
4251-29,3,22620,1749
4959-12,1,9060,855
424-27,3,18840,2415
1000-17,1,10020,961
4923-13,2,16260,1366
3998-9,1,4800,670
1751-13,1,9660,1211
2851-23,2,19080,1082
3424-17,3,18240,1397
494-6,2,14760,2220
1207-21,2,12540,3088
1349-13,2,12480,912
1795-7,2,10080,2033
170-39,2,10020,2286
3884-25,1,4080,982
3103-31,2,18000,1431
1697-11,2,15480,1705
4750-22,1,6180,721
4085-17,2,10320,1736
2270-39,4,26520,3154
1585-7,2,15120,1845
3161-26,1,10200,1122
1468-2,4,15660,4640
3240-20,3,20520,3076
2790-24,2,12120,2665
4122-22,2,13680,1290
4258-35,1,4620,442
4747-13,1,4380,1492
4821-39,2,14580,1621
213-12,2,3960,1316
4561-34,3,12960,2233
4650-38,1,8580,788
1944-17,2,9780,2490
3552-2,1,8460,604
3048-20,1,8340,734
20-22,1,8520,1156
4212-23,2,9960,1312
683-34,1,5520,442
2898-4,4,25620,3368
2301-15,2,12300,793
245-24,1,10620,635
202-38,1,8760,1723
3874-34,1,1980,1244
3846-8,1,2580,720
1587-4,1,6840,1264
2283-21,1,9720,1518
533-30,5,38880,4802
763-27,3,25980,3777
4285-16,5,32700,5077
4930-24,1,3480,1644
4112-25,3,26640,2206
623-27,1,8880,461
2751-20,2,15420,1667
3588-9,3,18300,2753
2720-8,2,16440,1735
782-24,2,12420,2547
1267-4,3,20160,1362
114-5,2,14520,1946
627-19,2,12600,503
1496-3,3,18900,1939
228-21,2,3960,1965
853-1,3,20040,2523
792-15,2,12120,2395
2135-6,1,9120,766
3290-15,2,13920,1242
2106-34,3,16320,3148
2744-5,2,17520,941
738-29,2,18060,1677
130-8,4,20280,3952
705-37,2,10800,2786
431-26,3,14400,3418
4693-31,3,16860,1832
3238-23,2,10560,1626
1076-30,1,8220,331
121-18,1,3780,629
3670-16,2,8880,1172
1553-1,1,5940,1782
818-22,2,13740,1957
1393-8,1,4800,321
2441-11,2,11280,2157
2465-29,1,8400,730
4769-34,2,12600,1056
1668-6,2,14820,2082
1147-13,2,13980,1845
3977-29,4,23160,3610
1744-11,1,5280,1325
2909-4,2,13080,2237
616-7,1,9780,1996
1143-23,2,18300,1484
2937-2,2,6000,1611
202-1,2,9600,1532
2526-19,2,8700,1671
2808-14,1,10620,410
3967-31,1,8160,799
4934-13,2,8820,742
403-33,1,7140,796
930-40,2,14340,1153
593-13,3,11700,5407
2108-8,2,12360,1474
3004-40,2,8520,1690
1073-27,2,14220,1250
4636-13,3,23160,3236
589-39,2,17520,1412
644-12,2,8580,1367
4688-20,3,19500,2755
1334-4,5,25260,2888
4624-22,1,2040,1011
2814-13,1,3960,1529
3942-4,3,11880,4219
4387-2,1,4200,1049
2725-19,3,11940,2358
3255-21,3,13920,1587
4223-36,2,12540,2033
961-9,1,3840,867
1530-12,1,3480,2022
1581-24,1,3780,566
4175-31,2,17160,2006
1022-10,3,26760,2346
4809-35,2,15000,1743
4162-33,2,12660,1858
1798-6,1,9000,653
589-10,2,6840,1156
4490-17,2,17700,1806
1022-36,1,7740,853
4941-30,1,6000,218
47-5,1,2640,1065
3677-23,4,26580,4479
2655-35,3,22440,3331
4242-4,3,19860,2603
4632-21,1,8760,1100
270-35,2,14040,2674
2594-40,3,14340,2118
4081-20,2,13680,799
2599-2,1,6120,621
2016-19,2,13920,1936
3761-22,2,5880,2173
760-2,2,19440,2265
2396-22,1,7560,442
351-40,1,4980,451
976-37,1,7080,1025
1189-39,1,9780,725
4237-17,1,9120,793
4397-13,3,16140,2461
2866-1,3,17580,2584
4173-23,2,11400,683
4180-40,1,8160,1090
1826-19,3,24840,2916
2938-8,1,9300,477
1016-20,4,17760,2194
3203-17,3,21000,3065
3714-7,2,8640,1436
969-15,2,19500,1068
4096-5,1,3540,349
3197-14,4,22320,4340
1077-13,2,16800,1541
3001-41,3,21240,2271
167-24,1,3360,197
2094-12,1,7080,1064
1966-29,1,5640,699
4920-35,2,8760,2930
558-27,3,19920,2767
344-18,5,31620,4927
4408-26,3,23700,2414
2608-1,4,27840,3477
136-8,1,6720,1332
3589-39,3,15120,2219
2296-16,1,9600,979
3937-38,1,10320,789
1156-26,1,6960,774
3336-18,1,9120,680
3165-5,2,11700,1798
37-16,1,4620,1427
3704-4,1,9900,1060
4463-32,2,12840,1956
2748-22,2,11820,1142
4712-32,1,9900,379
1224-31,1,3120,743
2928-26,1,4740,206
424-37,1,5580,1434
2327-4,2,10680,1691
1842-35,2,7260,2471
1265-39,1,4440,982
2254-35,1,7560,616
4534-34,3,12180,1105
575-9,1,7260,874
3451-5,1,2400,461
2728-25,2,11280,1937
2400-25,1,2220,1120
1097-7,2,14340,2998
1901-1,3,23940,3062
750-25,4,23640,5103
342-1,2,13740,1845
2605-31,2,9420,2133
3403-18,1,3540,424
528-10,2,14160,3273
472-34,2,14100,571
4224-1,2,10500,1529
2774-24,3,22140,2479
3625-34,1,5820,1496
300-18,4,24000,1824
1586-41,1,6000,813
2471-6,1,6420,866
303-23,2,14100,1526
2900-37,1,2100,879
3651-23,2,9420,1740
1481-14,2,13980,2154
2714-32,2,13500,2423
3394-2,2,17880,2670
3954-36,2,10620,1467
2910-23,1,4860,241
1761-15,2,14340,2137
2651-29,1,4440,1314
2760-22,1,4620,507
1030-39,1,7140,435
661-5,2,14160,1282
797-30,3,19860,1698
2417-17,3,20460,1786
4972-6,2,14820,1065
4484-35,2,16560,774
4287-7,2,10800,1552
1123-32,1,4920,878
999-4,2,17940,1721
469-22,1,7680,466
3562-52,1,5580,355
2569-23,2,11460,1385
4501-41,3,20760,1743
823-20,3,10740,2431
3429-37,1,7200,383
4166-37,3,22560,1719
2324-36,1,6540,531
3662-9,3,17040,1696
2435-5,4,21660,4868
2924-11,2,7140,3128
4202-35,2,6720,1644
2765-16,3,19200,4264
1723-27,2,10560,1690
324-19,2,18300,1578
3674-7,2,10380,2126
803-19,4,25920,2764
1037-17,1,9900,1006
14-24,3,15420,1925
3829-41,3,12180,4200
334-35,2,15000,1434
4807-31,1,5460,653
783-2,1,9000,1545
180-32,2,12480,3131
476-5,3,23820,3626
964-41,4,24120,4151
2672-28,2,9660,1714
2636-1,2,13920,2141
2227-23,1,9600,1193
4012-28,2,12720,2377
3746-36,3,18180,2046
917-29,2,13140,997
3440-24,1,10680,600
457-13,3,25260,3138
4580-36,1,3900,658
3947-22,2,10320,2016
3320-8,2,20160,1405
3554-35,1,2100,349
861-21,1,7980,1673
728-28,3,15420,3542
1719-26,2,19440,1510
1557-29,1,6120,717
1442-21,1,8940,1286
4497-22,1,9900,1527
3457-9,1,7200,1114
1911-35,3,22380,3903
1161-18,2,12360,1006
554-26,3,19620,2550
366-11,3,19860,2816
1401-40,3,20100,1607
4831-26,3,21900,3731
2556-26,3,18600,3329
772-39,3,22440,2490
3501-14,1,6480,550
2046-35,1,9900,1471
1801-3,3,21360,2165
938-4,1,4560,1098
3984-27,1,3000,457
509-2,1,9420,944
1890-12,1,8220,923
2315-2,5,22320,3595
1234-2,3,21840,3469
673-26,4,29760,4506
2266-5,1,6600,851
714-37,2,18000,2228
3572-15,1,2460,446
497-18,1,5760,405
4834-16,2,12900,780
3327-19,3,16680,2744
651-30,1,8580,681
3758-25,1,3480,1335
1596-2,1,3300,347
4305-34,1,5220,629
576-35,2,6720,2206
2944-19,3,20280,1202
2557-19,1,9960,911
2684-1,4,30420,4210
4763-22,2,10620,1624
162-11,2,6840,1892
1061-16,1,3360,763
4904-3,3,21780,3164
2798-12,1,6300,447
3819-34,3,16080,2721
4133-26,1,9840,173
1804-37,3,22320,2624
2432-38,1,3000,1269
2421-41,1,7140,1628
1274-16,2,13860,1672
2355-41,2,18060,1144
2641-40,2,17340,1527
4540-25,3,25680,1832
967-14,3,19860,3873
3114-13,1,3120,1612
1025-34,2,11580,2422
4593-13,2,14220,1619
2749-38,2,12540,1934
3941-34,2,6840,1630
4822-32,1,4500,1225
274-8,1,9600,687
2855-22,2,10080,2702
293-3,2,12720,1480
4137-19,3,20400,2088
3168-27,1,9300,538
2494-35,1,4740,1712
4402-30,2,11940,2071
4736-35,2,19320,1095
2616-7,4,22920,2003
3513-25,1,9300,964
4184-16,5,33720,4710
2571-29,2,16860,1741
3677-52,1,2640,1482
324-33,1,10500,813
3936-4,1,5820,711
2883-7,2,8040,1672
3462-16,2,15300,2138
3475-14,2,17160,1770
3196-21,1,7920,693
48-22,1,2160,469
2752-41,1,10320,980
2517-27,1,4620,304
3170-23,2,11160,1512
1359-40,1,10740,823
1865-9,4,23280,4510
3175-28,1,7440,899
1453-23,1,6540,1337
1499-13,3,25080,2008
725-12,1,6540,739
3490-15,3,22380,1641
532-6,3,20340,2008
954-40,2,5760,1834
2598-29,4,29220,3939
2238-26,3,19860,1872
625-4,1,5040,426
2581-15,1,6660,409
2631-19,3,19740,2372
4980-6,1,5820,1715
1252-8,2,10980,2804
85-26,2,11820,1328
3305-28,5,30600,5507
4695-29,2,19500,2327
2212-31,3,18060,1901
1493-16,1,3600,209
255-5,1,7020,787
4634-25,1,1800,530
1623-33,1,3360,1069
398-6,2,17580,1764
4158-23,4,27720,2540
2186-7,2,16800,2339
3215-15,1,9000,697
1722-35,1,3000,952
3807-29,1,9720,1032
2455-3,1,10440,923
3874-3,2,6420,2024
2199-27,3,19200,3008
3274-11,2,14820,2661
4765-37,2,9000,1504
4017-34,2,11400,1446
2984-28,3,15300,3708
3962-37,1,10260,403
3095-35,2,16200,2711
4674-39,2,14880,2090
2321-26,2,10800,1268
3170-5,2,15960,1166
2951-19,2,16620,1756
1562-10,4,21060,4833
2490-32,1,2760,598
583-23,3,20700,2552
3943-39,1,2760,379
4012-41,1,9000,857
4104-36,2,15900,2610
3227-17,1,2820,651
852-4,3,26340,1703
771-3,1,4260,1444
2014-33,3,13740,3324
1248-23,2,14040,1414
2399-2,2,16140,1971
3861-2,1,3720,619
2339-3,2,20820,1865
4404-9,1,4500,814
2450-10,1,5160,1017
1564-8,2,6480,2384
1614-24,1,1980,1406
2874-25,2,13260,2494
3953-32,1,9960,307
2693-41,1,4380,1405
1861-19,1,7560,621
727-15,2,14280,3073
188-21,1,6240,1484
146-27,1,3480,892
4387-4,2,13920,2627
2805-16,3,22080,4126
2141-23,2,12240,1969
3781-8,4,32040,3421
1906-39,3,23160,3234
968-3,4,20100,3827
4521-8,1,9300,242
3954-19,1,4980,668
2144-33,2,11640,2180
4712-37,3,25800,1529
4121-32,4,30840,3957
1869-28,1,6900,361
3527-38,3,15300,2245
480-35,1,2460,1539
4416-15,2,12960,3040
4155-32,2,19620,2166
3354-26,4,23880,4023
1156-10,1,6000,608
1408-7,2,7920,2040
2345-36,3,17820,3311
3169-13,2,9240,1752
4840-40,1,7380,325
4928-9,2,15000,2013
1450-15,1,4200,1203
2477-35,2,10620,2168
4736-28,5,30120,4879
331-28,3,18300,3108
3970-8,1,9540,1346
1883-29,1,5160,1729
3029-14,3,13680,4171
691-19,2,11340,2206
1064-15,4,25380,3536
1477-3,2,6180,1240
317-2,3,22980,2058
2703-36,2,8580,1645
4442-27,2,14220,3005
2884-24,1,4380,1404
4055-5,3,23580,1955
220-38,1,4260,444
4267-25,3,15540,2599
4157-6,1,10140,1202
2125-35,6,32340,4927
1335-21,1,6360,640
2862-33,3,8880,3338
1857-19,1,6240,1082
1405-41,2,13140,1376
878-39,1,8340,1654
1581-33,2,8040,3162
2281-22,1,5760,1432
1281-26,1,10020,1251
1693-11,1,8580,502
4722-32,2,13740,2184
2440-20,1,5760,800
3976-18,2,17940,1686
3520-5,1,6960,1087
769-28,1,2580,1993
1756-9,1,4620,477
1695-24,2,13860,2432
1399-36,3,21120,1730
874-3,3,20340,2132
3765-12,1,9600,613
2930-2,2,10860,1421
2114-1,1,9960,1332
1405-33,1,4980,485
906-29,1,2580,1001
2961-10,3,24060,3144
4017-36,4,31740,3855
3377-34,2,18000,2254
195-8,1,7200,675
3393-4,4,27780,5337
4804-15,1,7860,1036
573-9,3,23760,1125
209-8,2,13260,3662
3061-22,3,15000,1504
2948-23,4,24660,3374
3557-29,2,14220,1893
962-25,2,9660,1199
2374-12,3,24660,1657
2733-37,2,18840,2457
2788-14,1,7500,1218
595-21,2,4800,1958
2370-31,1,6300,583
2088-2,3,18720,2036
2421-8,1,8040,639
217-7,1,10620,612
4710-6,2,6240,1820
7-21,2,16080,1015
4989-30,1,9840,909
472-20,2,12900,404
3174-4,1,8280,1219
4569-18,4,25200,4081
329-40,4,28080,3800
699-33,2,12960,1188
3104-3,3,22680,2887
2056-29,4,26580,3324
2275-13,2,9840,2034
219-35,1,7140,740
3846-52,1,8280,807
1696-11,3,20040,2634
3907-36,2,5340,2139
4621-21,1,10260,942
2943-32,1,7620,304
1830-8,1,4200,1076
1804-31,1,6420,292
4177-18,3,18300,2438
800-21,2,13140,1116
1876-1,1,6780,665
2027-31,1,6900,975
2034-39,3,10440,3523
1144-4,2,17400,1043
3303-20,1,10560,536
2485-27,3,22260,1921
3847-40,2,10740,1142
875-41,3,15780,1807
215-10,2,13020,2114
1874-28,3,25680,2381
2893-1,3,12060,2183
1288-36,2,11220,1307
4311-31,3,19740,2185
4905-25,2,11400,1989
3816-7,2,5820,715
3183-15,1,7920,416
1352-39,1,1920,664
1196-24,4,12840,3070
2700-11,1,5160,730
982-30,1,5820,495
496-41,4,29340,3378
4806-3,2,14100,877
3369-11,3,17100,3776
2369-5,1,5460,230
3434-12,2,16080,1320
742-26,1,10740,749
273-19,2,12720,1912
956-37,1,10680,1047
188-16,1,4800,735
2970-14,1,8640,984
3402-20,3,27300,3427
850-1,2,16500,2757
3645-41,1,6600,509
4925-30,4,33000,3760
3060-40,2,16080,1227
3297-20,1,7620,414
3862-35,4,13620,2597
1596-10,2,9480,3268
4323-39,3,27720,2755
4825-31,1,7980,869
338-37,1,6360,644
4685-27,1,6480,308
3188-21,3,14460,2647
4157-26,2,12840,905
3338-18,1,6420,1184
31-4,2,13140,2223
1968-2,2,12240,1371
328-19,2,11460,1808
1340-2,2,5700,1193
2769-19,3,18960,3189
2915-37,2,13020,1820
4801-40,2,7020,1013
1829-32,3,18300,3966
4633-20,1,10200,616
3334-7,2,18540,2101
4567-15,2,20460,1601
55-34,2,10740,1888
2006-5,2,12600,1645
4333-15,1,9780,490
2918-30,1,3000,376
3608-35,2,7320,1781
2799-38,1,8640,1424
410-29,1,2220,1337
4560-38,3,18300,2433
4004-38,2,18960,1636
1541-3,1,9480,1306
2459-25,1,7560,1096
2642-5,2,13200,1715
2491-34,2,10920,1231
676-34,1,6900,1078
156-14,2,15240,1722
4083-13,1,6600,1193
2731-38,4,28860,4480
3406-5,2,17280,2171
2431-5,1,6240,1652
2316-15,1,6240,908
2357-20,3,21480,2621
1894-5,1,8040,1009
1706-24,1,2280,1111
873-10,4,22740,2782
1353-17,1,4380,1739
2542-2,2,17340,974
442-2,2,13080,2564
2386-28,1,9660,754
1777-3,1,7140,1010
3340-10,1,8280,830
685-1,1,4980,1489
1641-17,2,11100,1761
623-17,2,12180,2044
4600-12,3,14340,2994
275-26,2,14460,948
4142-35,1,2520,997
3414-24,2,13620,3172
2853-4,1,9240,1694
3468-39,2,12360,2157
4052-14,2,9120,713
1978-52,2,16680,1285
2751-21,1,3420,253
4835-16,3,22320,2600
